,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
4390,UEI-IMD-FL-2013-0118,20130911,20130911,1.0,heavy rains ,,Chennai and Tiruvallur ,Tamil Nadu,,,,,4,,,,4 persons died.,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away. ,IMD,
4391,UEI-IMD-FL-2013-0119,20131015,20131015,1.0,heavy rains ,,Coimbatore and Cuddalore ,Tamil Nadu,,,,,,,,,2 persons died due to wall collapse. ,,IMD,
4392,UEI-IMD-FL-2013-0120,20131020,20131020,1.0,heavy rains,,Coimbatore and Tiruvannamalai,Tamil Nadu,,,,,1,1,,,One person died due to wall collapse and other washed away.,,IMD,
4393,UEI-IMD-FL-2013-0121,20131116,20131116,1.0,heavy rains ,,"Cuddalore, Dharamapuri Kanyakumari, Nagapattinam, Thanjavur, Thiruvarur and Villupuram ",Tamil Nadu,,,,,11,,,7,i) 11 persons died in different incidences. ii) 7 cattle heads perished. ,i) About 35 houses fully and 150 houses partially damaged. ii) Damage to banana plantations reported. iii) About 100 electric poles damaged in Sirkazhi town. iv) Roof of a school building blown away. v) 2500 acres of salt pans submerged. ,IMD,
4394,UEI-IMD-FL-2013-0122,20131125,20131125,1.0,heavy rains ,,Pudukkottai ,Tamil Nadu,,,,,3,,,,3 persons died.,,IMD,
4395,UEI-IMD-FL-2013-0123,20131213,20131213,1.0,heavy rains ,,Nagapattinam ,Tamil Nadu,,,,,1,,,,One fisherman lost his life. ,"About 6,000 acres of paddy crops damaged.",IMD,
4396,UEI-IMD-FL-2013-0124,20130612,20130612,1.0,heavy rains ,,Kannauj ,Uttar Pradesh,,,,,10,,,,10 persons died. ,i) Low lying areas and crop land inundated. ii) Several trees/electric poles uprooted causing traffic disruption. iii) Roof of some houses blown away. ,IMD,
4397,UEI-IMD-FL-2013-0125,20130617,20130617,1.0,heavy rains ,,Muzaffar Nagar,Uttar Pradesh,,,,,1,3,,,One woman died and 3 others injured due to house collapse. ,i) Several trees/electric poles uprooted causing traffic disruption. ii) Roof of some houses blown away. ,IMD,
4398,UEI-IMD-FL-2013-0126,20130619,20130619,1.0,heavy rains ,,Barabanki and Bahraich ,Uttar Pradesh,,,,,2,,,,2 persons died.,,IMD,
4399,UEI-IMD-FL-2013-0127,20130625,20130630,1.0,heavy rains ,,"Faizabad, Gonda and Sitapur ",Uttar Pradesh,,,,,12,,,,About 12 persons died in different incidences.,i) Damage to some houses reported. ii) Low lying areas flooded. iii) Road/rail traffic disrupted.,IMD,
